date,cases
2022-02-13,9.0
2022-02-14,14.0
2022-02-15,14.0
2022-02-16,24.0
2022-02-17,19.0
2022-02-18,17.0
2022-02-19,9.0
2022-02-20,7.0
2022-02-21,21.0
2022-02-22,16.0
2022-02-23,15.0
2022-02-24,15.0
2022-02-25,17.0
2022-02-26,13.0
2022-02-27,7.0
2022-02-28,16.0
2022-03-01,12.0
2022-03-02,19.0
2022-03-03,22.0
2022-03-04,21.0
2022-03-05,16.0
2022-03-06,18.0
2022-03-07,16.0
2022-03-08,22.0
2022-03-09,19.0
2022-03-10,12.0
2022-03-11,22.0
2022-03-12,12.0
2022-03-13,11.0
2022-03-14,26.0
2022-03-15,21.0
2022-03-16,17.0
2022-03-17,24.0
2022-03-18,18.0
2022-03-19,4.0
2022-03-20,14.0
2022-03-21,30.0
2022-03-22,32.0
2022-03-23,18.0
2022-03-24,25.0
2022-03-25,23.0
2022-03-26,8.0
2022-03-27,10.0
2022-03-28,26.0
2022-03-29,23.0
2022-03-30,21.0
2022-03-31,37.0
2022-04-01,19.0
2022-04-02,19.0
2022-04-03,15.0
2022-04-04,31.0
2022-04-05,38.0
2022-04-06,33.0
2022-04-07,31.0
2022-04-08,34.0
2022-04-09,22.0
2022-04-10,23.0
2022-04-11,32.0
2022-04-12,29.0
2022-04-13,29.0
2022-04-14,43.0
2022-04-15,22.0
2022-04-16,16.0
2022-04-17,20.0
2022-04-18,27.0
2022-04-19,25.0
2022-04-20,33.0
2022-04-21,24.0
2022-04-22,26.0
2022-04-23,14.0
2022-04-24,8.0
2022-04-25,25.0
2022-04-26,18.0
2022-04-27,26.0
2022-04-28,31.0
2022-04-29,30.0
2022-04-30,17.0
2022-05-01,14.0
2022-05-02,25.0
2022-05-03,23.0
2022-05-04,32.0
2022-05-05,26.0
2022-05-06,26.0
2022-05-07,23.0
2022-05-08,15.0
2022-05-09,39.0
2022-05-10,35.0
2022-05-11,39.0
2022-05-12,28.0
2022-05-13,33.0
2022-05-14,21.0
2022-05-15,21.0
2022-05-16,47.0
2022-05-17,32.0
2022-05-18,38.0
2022-05-19,30.0
2022-05-20,44.0
2022-05-21,21.0
2022-05-22,20.0
2022-05-23,44.0
2022-05-24,43.0
2022-05-25,28.0
2022-05-26,43.0
2022-05-27,36.0
2022-05-28,25.0
2022-05-29,25.0
2022-05-30,47.0
2022-05-31,50.0
2022-06-01,49.0
2022-06-02,63.0
2022-06-03,41.0
2022-06-04,14.0
2022-06-05,34.0
2022-06-06,72.0
2022-06-07,47.0
2022-06-08,48.0
2022-06-09,53.0
2022-06-10,47.0
2022-06-11,49.0
2022-06-12,41.0
2022-06-13,62.0
2022-06-14,58.0
2022-06-15,56.0
2022-06-16,56.0
2022-06-17,55.0
2022-06-18,44.0
2022-06-19,59.0
2022-06-20,74.0
2022-06-21,61.0
2022-06-22,60.0
2022-06-23,59.0
